theta time Kinect_theta
-02 0.0356035 -0.00172762
-02 0.0877795 -0.00846061
-02 0.137478 -0.00644052
-02 0.187288 -0.0167304
-02 0.237455 -0.0118904
-02 0.2869 -0.00775479
-02 0.33782 -0.0108208
-02 0.387054 -0.0106224
-02 0.438393 -0.00163704
-02 0.488088 -0.0154535
-02 0.537722 -0.0234941
-02 0.589391 -0.0129841
-02 0.641602 -0.00461033
-02 0.690937 -0.00941647
-02 0.739906 -0.0148726
-02 0.792516 -0.014615
-02 0.848744 -0.0178269
-02 0.907505 -0.0141138
-02 0.959045 -0.0095075
-02 1.01123 -0.0129982
-02 1.06161 -0.0162438
-02 1.11293 -0.0125645
-02 1.16353 -0.0147127
-02 1.21274 -0.0169192
-02 1.26602 -0.0106217
-02 1.31923 -0.00805049
-02 1.36881 -0.00722638
-02 1.42162 -0.00241826
-02 1.47577 -0.00946008
-02 1.52888 -0.00767378
-02 1.58173 -0.0074044
-02 1.63801 -0.00438977
-02 1.69671 -0.00841006
-02 1.75671 -0.0151503
-02 1.81464 -0.0168899
-02 1.87318 -0.00903574
-02 1.92899 -0.00523759
-02 1.98354 -0.0133404
-02 2.03751 -0.0145076
-02 2.08721 -0.0184668
-02 2.13671 -0.0201354
-02 2.18794 -0.00976474
-02 2.23716 -0.00466366
-02 2.28752 -0.000716809
-02 2.33759 -0.00729755
-02 2.38766 -0.0189957
-02 2.43749 -0.0173461
-02 2.48638 -0.0146986
-02 2.53654 -0.0142401
-02 2.58765 -0.00803443
-02 2.6385 -0.00783281
-02 2.68796 -0.0111925
-02 2.73787 -0.0192443
-02 2.7921 -0.0182166
-02 2.84728 -0.00922643
-02 2.90145 -0.00587263
-02 2.95453 -0.00696201
-02 3.0086 -0.0171396
-02 3.06313 -0.0201073
-02 3.11345 -0.0238197
-02 3.16355 -0.0115169
-02 3.21309 -0.00467928
-02 3.26653 -0.0075359
-02 3.3159 -0.0081525
-02 3.36827 -0.0102437
-02 3.41688 -0.0182206
-02 3.46652 -0.0219162
-02 3.51685 -0.00576972
-02 3.57412 -0.00721618
-02 3.62846 -0.00760757
-02 3.68471 -0.0108949
