theta time Kinect_theta
-10 0.0034008 -0.326363
-10 0.0629194 -0.326562
-10 0.118688 -0.333337
-10 0.17486 -0.3325
-10 0.230739 -0.329342
-10 0.282395 -0.327751
-10 0.33509 -0.331987
-10 0.389879 -0.332093
-10 0.445093 -0.331498
-10 0.501616 -0.330344
-10 0.558352 -0.330417
-10 0.613956 -0.333331
-10 0.66909 -0.327324
-10 0.725221 -0.33005
-10 0.778096 -0.331052
-10 0.831133 -0.328684
-10 0.884517 -0.33157
-10 0.936793 -0.32978
-10 0.988676 -0.3298
-10 1.04198 -0.329204
-10 1.09418 -0.329662
-10 1.1469 -0.332003
-10 1.1984 -0.33019
-10 1.25367 -0.329013
-10 1.30604 -0.328081
-10 1.35863 -0.330028
-10 1.41035 -0.332194
-10 1.46315 -0.329137
-10 1.51443 -0.327709
-10 1.56626 -0.332027
-10 1.61982 -0.331033
-10 1.67139 -0.330902
-10 1.72312 -0.328441
-10 1.77922 -0.329713
-10 1.83472 -0.327792
-10 1.89039 -0.331138
-10 1.9461 -0.332126
-10 2.00215 -0.330466
-10 2.05486 -0.329853
-10 2.10651 -0.326778
-10 2.15904 -0.33302
-10 2.21089 -0.331609
-10 2.26329 -0.332694
-10 2.31508 -0.328935
-10 2.36837 -0.326687
-10 2.41951 -0.327806
-10 2.47067 -0.329112
-10 2.53512 -0.332048
-10 2.5959 -0.330236
-10 2.65613 -0.325224
-10 2.71926 -0.32892
-10 2.78156 -0.327472
-10 2.84309 -0.331229
-10 2.90397 -0.330908
-10 2.96285 -0.330965
-10 3.0237 -0.32995
-10 3.08477 -0.328509
-10 3.13675 -0.324144
-10 3.18892 -0.331427
-10 3.24061 -0.333442
-10 3.29273 -0.331349
-10 3.34527 -0.328704
-10 3.39694 -0.326004
-10 3.44887 -0.330719
-10 3.50057 -0.331158
-10 3.55395 -0.330505
-10 3.60568 -0.332147
-10 3.65722 -0.332818
-10 3.7086 -0.327846
-10 3.76071 -0.327481
-10 3.81306 -0.333079
-10 3.86566 -0.329049
-10 3.91777 -0.332325
-10 3.9702 -0.332101
-10 4.02194 -0.327355
-10 4.07454 -0.331286
-10 4.12681 -0.327848
-10 4.17852 -0.329543
-10 4.23109 -0.328981
-10 4.28232 -0.328819
-10 4.33342 -0.330451
-10 4.38358 -0.328329
-10 4.43659 -0.329277
-10 4.48842 -0.327787
-10 4.54134 -0.328371
-10 4.59423 -0.329609
-10 4.64708 -0.331652
-10 4.69812 -0.328886
-10 4.75016 -0.330635
-10 4.8022 -0.327933
-10 4.85406 -0.327646
-10 4.90786 -0.328057
-10 4.95992 -0.329498
-10 5.01242 -0.32713
-10 5.06515 -0.327863
-10 5.1177 -0.328639
-10 5.16958 -0.330159
-10 5.22208 -0.327551
-10 5.27481 -0.331769
-10 5.32693 -0.328632
-10 5.37922 -0.327504
-10 5.43131 -0.333011
-10 5.48371 -0.330253
-10 5.53559 -0.328793
-10 5.5882 -0.326592
-10 5.6397 -0.330866
-10 5.69129 -0.327941
-10 5.74419 -0.327305
-10 5.79598 -0.330083
-10 5.84673 -0.331549
-10 5.89829 -0.329111
-10 5.95132 -0.330934
-10 6.00288 -0.324828
-10 6.05782 -0.329141
-10 6.11075 -0.3301
-10 6.1631 -0.333213
-10 6.21581 -0.33011
-10 6.2673 -0.328624
-10 6.31971 -0.329847
-10 6.37075 -0.328309
-10 6.42325 -0.327675
-10 6.47591 -0.332339
-10 6.5273 -0.328815
-10 6.57889 -0.326497
-10 6.6303 -0.333324
-10 6.68176 -0.328692
-10 6.73402 -0.333577
-10 6.79518 -0.333626
-10 6.85573 -0.327182
-10 6.91571 -0.330232
-10 6.9771 -0.33042
-10 7.0378 -0.329201
-10 7.10112 -0.334986
-10 7.16101 -0.330943
-10 7.22192 -0.329527
-10 7.28239 -0.328853
-10 7.34354 -0.332754
-10 7.40455 -0.329161
-10 7.46542 -0.328044
-10 7.52606 -0.326775
-10 7.58663 -0.33222
-10 7.64794 -0.33096
-10 7.70777 -0.328617
-10 7.76345 -0.327572
-10 7.82016 -0.328654
-10 7.8756 -0.32796
-10 7.93136 -0.326809
-10 7.9888 -0.331534
-10 8.04514 -0.327214
-10 8.10009 -0.332377
-10 8.15539 -0.327271
-10 8.21065 -0.327391
-10 8.26661 -0.330158
-10 8.32255 -0.32915
-10 8.37958 -0.333952
-10 8.43558 -0.328973
-10 8.49623 -0.328144
-10 8.55706 -0.32502
-10 8.61852 -0.329394
-10 8.68021 -0.329862
-10 8.73063 -0.332624
-10 8.78273 -0.328191
-10 8.83463 -0.327834
-10 8.88668 -0.326167
-10 8.93844 -0.328711
-10 8.99222 -0.32667
-10 9.04199 -0.331149
-10 9.09432 -0.326686
-10 9.14591 -0.326632
-10 9.19799 -0.327699
-10 9.25937 -0.32872
-10 9.32075 -0.328658
-10 9.38139 -0.333049
-10 9.44028 -0.332747
-10 9.49795 -0.329731
-10 9.55901 -0.326842
-10 9.61947 -0.325215
-10 9.68064 -0.329908
-10 9.74102 -0.327731
-10 9.80203 -0.328001
-10 9.86277 -0.327234
-10 9.92717 -0.32986
-10 9.98696 -0.329703
-10 10.0479 -0.333858
-10 10.1098 -0.331057
-10 10.1706 -0.330319
-10 10.2313 -0.329901
-10 10.2927 -0.328293
-10 10.3529 -0.330384
-10 10.4137 -0.329901
-10 10.4744 -0.33267
-10 10.5354 -0.334317
-10 10.5983 -0.332309
-10 10.6592 -0.334193
-10 10.7195 -0.333421
-10 10.7819 -0.334495
-10 10.8425 -0.333339
-10 10.9024 -0.333156
-10 10.963 -0.328368
-10 11.025 -0.332363
-10 11.0857 -0.33217
-10 11.1462 -0.335002
-10 11.207 -0.333876
-10 11.2674 -0.331637
-10 11.3179 -0.330844
-10 11.3679 -0.327073
-10 11.4188 -0.336641
-10 11.4697 -0.334977
-10 11.5201 -0.33329
-10 11.5709 -0.335122
-10 11.6216 -0.333423
-10 11.6712 -0.334573
-10 11.7354 -0.33162
-10 11.7968 -0.336588
-10 11.8588 -0.334314
-10 11.9213 -0.337718
-10 11.983 -0.333061
-10 12.0439 -0.329079
-10 12.1043 -0.330127
-10 12.1646 -0.333786
-10 12.2253 -0.334601
-10 12.286 -0.333489
-10 12.3465 -0.335795
-10 12.4071 -0.334218
-10 12.4683 -0.335214
-10 12.529 -0.336061
-10 12.5898 -0.334815
-10 12.6503 -0.33336
-10 12.7105 -0.332433
-10 12.7713 -0.334228
-10 12.8318 -0.331756
-10 12.8933 -0.33503
-10 12.954 -0.33229
-10 13.0155 -0.330973
-10 13.0759 -0.336316
-10 13.137 -0.333257
-10 13.1982 -0.330952
-10 13.26 -0.335415
-10 13.3202 -0.335635
-10 13.3723 -0.332366
-10 13.4267 -0.333407
-10 13.4872 -0.334235
-10 13.548 -0.333178
-10 13.6087 -0.330539
-10 13.6688 -0.3332
-10 13.7299 -0.334864
-10 13.7903 -0.329278
-10 13.851 -0.335902
-10 13.9127 -0.334464
-10 13.9749 -0.335715
-10 14.0356 -0.335136
-10 14.0965 -0.333509
-10 14.1565 -0.336779
-10 14.2175 -0.331243
-10 14.2784 -0.333352
-10 14.3392 -0.337204
-10 14.4002 -0.33254
-10 14.4637 -0.335745
-10 14.5239 -0.333548
-10 14.586 -0.331026
-10 14.6471 -0.331834
-10 14.7085 -0.331911
-10 14.7691 -0.334938
-10 14.83 -0.330527
-10 14.8905 -0.333504
-10 14.9517 -0.333684
-10 15.0132 -0.332298
-10 15.0728 -0.335976
-10 15.134 -0.334505
-10 15.1947 -0.336332
-10 15.2571 -0.331666
-10 15.3192 -0.332215
-10 15.3801 -0.335897
-10 15.4417 -0.333564
-10 15.5037 -0.337163
-10 15.5649 -0.334318
-10 15.6265 -0.332342
-10 15.6881 -0.336108
-10 15.7491 -0.338834
-10 15.8099 -0.335479
-10 15.87 -0.3324
-10 15.9336 -0.334356
-10 15.9841 -0.335557
-10 16.0339 -0.33288
-10 16.0944 -0.336238
-10 16.1568 -0.336445
-10 16.2175 -0.332619
-10 16.2785 -0.335301
-10 16.3392 -0.335146
-10 16.3998 -0.335096
-10 16.4614 -0.331836
-10 16.5245 -0.335905
-10 16.5852 -0.332392
-10 16.6366 -0.335339
-10 16.6979 -0.335511
-10 16.7584 -0.338802
-10 16.8185 -0.331646
-10 16.8792 -0.330028
-10 16.9398 -0.333759
-10 17.001 -0.335807
-10 17.0634 -0.335418
-10 17.1243 -0.333442
-10 17.1841 -0.333797
-10 17.2452 -0.3345
-10 17.3031 -0.339225
-10 17.364 -0.338024
-10 17.4256 -0.337071
-10 17.4861 -0.333367
-10 17.5474 -0.332258
-10 17.608 -0.333001
-10 17.6673 -0.334058
-10 17.7188 -0.334124
-10 17.7713 -0.33781
-10 17.824 -0.336635
-10 17.8755 -0.32957
-10 17.9281 -0.339101
-10 17.9795 -0.336348
-10 18.0346 -0.332828
-10 18.0838 -0.333381
-10 18.1355 -0.334885
-10 18.1865 -0.337062
-10 18.2382 -0.331105
-10 18.2905 -0.334565
-10 18.345 -0.331793
-10 18.3977 -0.335779
-10 18.4512 -0.335054
-10 18.5041 -0.333584
-10 18.5584 -0.336408
-10 18.6122 -0.330308
-10 18.6639 -0.33249
-10 18.7152 -0.335938
-10 18.7687 -0.331915
-10 18.8221 -0.33556
-10 18.874 -0.333672
-10 18.9297 -0.336184
-10 18.9845 -0.334963
-10 19.0405 -0.335117
-10 19.0927 -0.332056
-10 19.1445 -0.332166
-10 19.1973 -0.33582
-10 19.2488 -0.336289
-10 19.3006 -0.336464
-10 19.3538 -0.33573
-10 19.4051 -0.337179
-10 19.4582 -0.334384
-10 19.5099 -0.333301
-10 19.5607 -0.334577
-10 19.6111 -0.333925
-10 19.6617 -0.335524
-10 19.7133 -0.331678
-10 19.7637 -0.337214
-10 19.8139 -0.333787
-10 19.8649 -0.334378
-10 19.9155 -0.334797
-10 19.9656 -0.33391
-10 20.0162 -0.334375
-10 20.0673 -0.332063
-10 20.1183 -0.329336
-10 20.1688 -0.335529
-10 20.2305 -0.330711
-10 20.2932 -0.329748
-10 20.3548 -0.336547
-10 20.4192 -0.335642
-10 20.4714 -0.333875
-10 20.523 -0.334038
-10 20.5871 -0.326935
-10 20.6499 -0.336626
-10 20.7115 -0.338713
-10 20.7727 -0.330052
-10 20.8348 -0.335568
-10 20.8972 -0.333237
-10 20.9581 -0.329011
-10 21.0187 -0.33106
-10 21.0794 -0.333915
-10 21.1408 -0.326657
-10 21.2036 -0.334329
-10 21.2531 -0.333361
-10 21.3036 -0.330129
-10 21.3549 -0.334382
-10 21.4054 -0.334615
-10 21.468 -0.334635
-10 21.5285 -0.330287
-10 21.5907 -0.336136
-10 21.6518 -0.332853
-10 21.7041 -0.334484
-10 21.7554 -0.333478
-10 21.8079 -0.328315
-10 21.8583 -0.334427
-10 21.91 -0.334835
-10 21.9602 -0.333418
-10 22.0101 -0.332909
-10 22.0604 -0.336196
-10 22.111 -0.336698
-10 22.1621 -0.331046
-10 22.2124 -0.33738
-10 22.2626 -0.334852
-10 22.3123 -0.329229
-10 22.3638 -0.33299
-10 22.4157 -0.3329
-10 22.4671 -0.331916
-10 22.5171 -0.332406
-10 22.5678 -0.330648
-10 22.618 -0.331974
-10 22.6683 -0.33022
-10 22.7183 -0.328628
-10 22.7689 -0.330006
-10 22.8193 -0.329945
-10 22.8703 -0.333678
-10 22.9205 -0.332595
-10 22.9729 -0.330864
-10 23.023 -0.337452
-10 23.0734 -0.334502
-10 23.1237 -0.332831
-10 23.1738 -0.329723
-10 23.2256 -0.333076
-10 23.2766 -0.331904
-10 23.327 -0.333534
-10 23.3769 -0.328278
-10 23.428 -0.332749
-10 23.4779 -0.332701
-10 23.5282 -0.330543
-10 23.5803 -0.334101
-10 23.6314 -0.335142
-10 23.6835 -0.330006
-10 23.7349 -0.334627
-10 23.7863 -0.33305
-10 23.8385 -0.333661
-10 23.8914 -0.332743
-10 23.9433 -0.330217
-10 23.9939 -0.332845
-10 24.0463 -0.334262
-10 24.0975 -0.330981
-10 24.1491 -0.33036
-10 24.2027 -0.330907
-10 24.2562 -0.333893
-10 24.3086 -0.332562
-10 24.3611 -0.33356
-10 24.4127 -0.330228
-10 24.4643 -0.333883
-10 24.5171 -0.333215
-10 24.5686 -0.327458
-10 24.6199 -0.335881
-10 24.674 -0.329524
-10 24.7263 -0.329652
-10 24.7782 -0.330002
-10 24.8295 -0.333416
-10 24.883 -0.332913
-10 24.9346 -0.33144
-10 24.9861 -0.330579
-10 25.038 -0.329184
-10 25.0892 -0.334248
-10 25.1435 -0.333883
-10 25.1952 -0.333607
-10 25.2466 -0.333403
-10 25.2981 -0.332193
-10 25.3503 -0.334637
-10 25.4019 -0.330795
-10 25.4536 -0.332189
-10 25.5053 -0.328835
-10 25.5599 -0.335501
-10 25.6132 -0.331681
-10 25.6651 -0.332444
-10 25.7268 -0.331295
-10 25.7875 -0.332684
-10 25.8486 -0.330203
-10 25.9093 -0.331631
-10 25.9717 -0.329749
-10 26.0318 -0.328226
-10 26.0937 -0.325513
-10 26.154 -0.338852
-10 26.2146 -0.332194
-10 26.2763 -0.335826
-10 26.336 -0.334536
-10 26.3963 -0.335778
-10 26.4548 -0.329956
-10 26.5071 -0.333977
-10 26.5587 -0.333521
-10 26.6117 -0.332671
-10 26.6629 -0.332279
-10 26.7145 -0.333077
-10 26.7671 -0.331544
-10 26.8187 -0.330635
-10 26.8702 -0.328454
-10 26.9226 -0.330985
-10 26.9771 -0.336454
-10 27.0296 -0.333715
-10 27.0815 -0.332383
-10 27.1337 -0.330267
-10 27.186 -0.331686
-10 27.2435 -0.330774
-10 27.2988 -0.331993
-10 27.351 -0.330977
-10 27.4099 -0.330163
-10 27.4632 -0.332643
-10 27.5135 -0.331952
-10 27.5637 -0.33551
-10 27.6132 -0.334009
-10 27.6637 -0.333838
-10 27.7158 -0.331711
-10 27.7664 -0.336726
-10 27.8168 -0.332623
-10 27.8673 -0.335137
-10 27.9167 -0.332454
-10 27.9671 -0.332498
-10 28.0172 -0.332882
-10 28.0676 -0.337399
-10 28.1179 -0.328713
-10 28.1796 -0.336642
-10 28.2396 -0.332519
-10 28.2998 -0.329803
-10 28.3587 -0.334369
-10 28.4114 -0.332625
-10 28.4666 -0.331647
-10 28.5226 -0.328176
-10 28.5784 -0.335971
-10 28.6354 -0.333339
-10 28.6909 -0.333864
-10 28.7472 -0.330485
-10 28.8034 -0.335524
-10 28.8561 -0.332763
-10 28.9083 -0.329359
-10 28.9601 -0.330626
-10 29.0125 -0.331784
-10 29.0644 -0.327729
-10 29.1174 -0.33115
-10 29.1703 -0.332131
-10 29.2268 -0.335099
-10 29.2848 -0.330112
-10 29.3463 -0.332282
-10 29.4066 -0.33009
-10 29.4681 -0.334986
-10 29.5294 -0.331302
-10 29.5901 -0.33268
-10 29.6517 -0.331689
-10 29.7127 -0.332834
-10 29.7735 -0.32715
-10 29.8338 -0.33163
-10 29.8948 -0.334244
-10 29.9562 -0.331679
-10 30.017 -0.333642
-10 30.0776 -0.335183
-10 30.1384 -0.330058
-10 30.1984 -0.334233
-10 30.2589 -0.330891
-10 30.3195 -0.340311
-10 30.3804 -0.33336
-10 30.4388 -0.334205
-10 30.4905 -0.329581
-10 30.5416 -0.334426
-10 30.605 -0.328652
-10 30.6657 -0.332507
-10 30.7256 -0.329591
-10 30.7816 -0.333773
-10 30.8377 -0.332783
-10 30.8949 -0.336137
-10 30.9502 -0.332261
-10 31.0016 -0.329267
-10 31.053 -0.331829
-10 31.1062 -0.331926
-10 31.1585 -0.332804
-10 31.2103 -0.332108
-10 31.2618 -0.327017
-10 31.3145 -0.334487
-10 31.3664 -0.333591
-10 31.4192 -0.336004
-10 31.4774 -0.334017
-10 31.5364 -0.330807
-10 31.5915 -0.33374
-10 31.6439 -0.334142
-10 31.6977 -0.332915
-10 31.7493 -0.334692
-10 31.8005 -0.335639
-10 31.8523 -0.332787
-10 31.9037 -0.333951
-10 31.9552 -0.330578
-10 32.0083 -0.33269
-10 32.0619 -0.331517
-10 32.1166 -0.330327
-10 32.1676 -0.332353
-10 32.2194 -0.329814
-10 32.2716 -0.334174
-10 32.3245 -0.338384
-10 32.3769 -0.333258
-10 32.4283 -0.333106
-10 32.48 -0.335902
-10 32.5321 -0.335239
-10 32.5837 -0.334387
-10 32.6358 -0.334274
-10 32.6881 -0.3341
-10 32.7447 -0.332003
-10 32.8058 -0.33588
-10 32.8707 -0.335635
-10 32.9311 -0.33664
-10 32.9852 -0.336741
-10 33.0475 -0.337303
-10 33.1083 -0.3343
-10 33.1656 -0.338148
-10 33.2205 -0.331012
-10 33.2773 -0.33428
