theta time Kinect_theta
-10 0.0211968 -0.243918
-10 0.0716865 -0.244105
-10 0.125431 -0.24302
-10 0.178858 -0.25424
-10 0.233932 -0.24445
-10 0.288823 -0.246198
-10 0.342561 -0.241719
-10 0.399234 -0.24144
-10 0.454803 -0.250225
-10 0.509605 -0.247378
-10 0.561115 -0.244888
-10 0.612708 -0.244226
-10 0.663181 -0.243216
-10 0.71363 -0.242657
-10 0.765048 -0.244006
-10 0.815534 -0.243848
-10 0.869618 -0.250266
-10 0.92103 -0.246458
-10 0.97237 -0.243332
-10 1.02278 -0.241268
-10 1.0736 -0.243598
-10 1.12427 -0.241918
-10 1.17491 -0.243304
-10 1.22896 -0.246579
-10 1.28809 -0.247835
-10 1.34826 -0.252986
-10 1.40854 -0.243952
-10 1.46765 -0.245195
-10 1.52737 -0.241433
-10 1.57815 -0.251301
-10 1.63026 -0.240017
-10 1.68165 -0.243651
-10 1.73277 -0.24287
-10 1.7831 -0.246608
-10 1.83471 -0.247888
-10 1.88657 -0.242284
-10 1.9371 -0.244156
-10 1.98833 -0.246739
-10 2.03947 -0.241797
-10 2.09455 -0.242726
-10 2.14538 -0.248556
-10 2.19749 -0.248781
-10 2.24806 -0.246904
-10 2.29981 -0.241427
-10 2.35077 -0.246234
-10 2.40282 -0.245715
-10 2.45363 -0.244213
-10 2.5048 -0.24724
-10 2.55603 -0.24398
-10 2.60735 -0.248567
-10 2.65895 -0.250056
-10 2.71025 -0.247738
-10 2.7611 -0.243128
-10 2.81313 -0.242826
-10 2.86463 -0.240932
-10 2.91594 -0.247398
-10 2.96779 -0.247217
-10 3.0187 -0.243679
-10 3.07731 -0.244705
-10 3.13782 -0.241895
-10 3.19737 -0.241896
-10 3.25747 -0.241525
-10 3.31785 -0.248379
-10 3.3776 -0.244104
-10 3.43704 -0.251476
-10 3.49756 -0.246908
-10 3.54742 -0.24504
-10 3.5974 -0.242885
-10 3.64727 -0.242726
-10 3.69729 -0.244288
-10 3.74725 -0.250146
-10 3.79678 -0.243694
-10 3.847 -0.243455
-10 3.89689 -0.241679
-10 3.94839 -0.247522
-10 3.99799 -0.248898
-10 4.04745 -0.250519
