theta time VICON_theta
-02 0 -0.0204552
-02 0.00498033 -0.0202934
-02 0.0100765 -0.0203653
-02 0.0149715 -0.0203428
-02 0.0200174 -0.0203002
-02 0.0252485 -0.0202266
-02 0.0299983 -0.0202913
-02 0.0349708 -0.0201604
-02 0.0400193 -0.0201087
-02 0.0450823 -0.0200464
-02 0.0500233 -0.0201295
-02 0.0550301 -0.020101
-02 0.0600467 -0.0199022
-02 0.065078 -0.0199076
-02 0.0700204 -0.0198733
-02 0.0750458 -0.0199065
-02 0.0818379 -0.019781
-02 0.0849798 -0.0198049
-02 0.089992 -0.0196444
-02 0.0952251 -0.0197384
-02 0.0999556 -0.0196569
-02 0.10497 -0.0194489
-02 0.109988 -0.0194198
-02 0.114995 -0.0194471
-02 0.119959 -0.0193349
-02 0.12497 -0.0193403
-02 0.144736 -0.0191707
-02 0.144752 -0.0191707
-02 0.144955 -0.0191411
-02 0.149952 -0.018991
-02 0.154965 -0.0190391
-02 0.159953 -0.0189713
-02 0.164992 -0.0190556
-02 0.169968 -0.0190472
-02 0.175005 -0.0189172
-02 0.193496 -0.0187492
-02 0.193502 -0.0187492
-02 0.194992 -0.0187026
-02 0.200006 -0.0186947
-02 0.205003 -0.0187564
-02 0.210036 -0.0186351
-02 0.228124 -0.0186789
-02 0.228136 -0.0186789
-02 0.22998 -0.0186728
-02 0.234973 -0.0186112
-02 0.240005 -0.0185582
-02 0.244981 -0.0184299
-02 0.24996 -0.0184243
-02 0.256095 -0.0184573
-02 0.259994 -0.0185541
-02 0.278033 -0.0184268
-02 0.278049 -0.0184268
-02 0.279962 -0.0184167
-02 0.284957 -0.0184711
-02 0.289969 -0.0184849
-02 0.295002 -0.0184645
-02 0.299956 -0.0183489
-02 0.304957 -0.0184476
-02 0.309948 -0.0184531
-02 0.314964 -0.0186388
-02 0.319969 -0.0185496
-02 0.32498 -0.018573
-02 0.329977 -0.0185196
-02 0.334979 -0.0185144
-02 0.339972 -0.0186932
-02 0.344964 -0.0185164
-02 0.361454 -0.0185938
-02 0.361467 -0.0185938
-02 0.364966 -0.0186583
-02 0.369961 -0.0186295
-02 0.374961 -0.0186957
-02 0.379959 -0.0187446
-02 0.385574 -0.0186967
-02 0.389966 -0.0186651
-02 0.394995 -0.0188456
-02 0.399961 -0.0188089
-02 0.404951 -0.01869
-02 0.409953 -0.0188857
-02 0.41498 -0.018845
-02 0.419976 -0.0188385
-02 0.425006 -0.0188647
-02 0.4301 -0.0189682
-02 0.435012 -0.0188096
-02 0.439998 -0.0188972
-02 0.444967 -0.0189349
-02 0.449952 -0.018953
-02 0.454965 -0.0188636
-02 0.459976 -0.0190561
-02 0.464955 -0.0190212
-02 0.469962 -0.0189323
-02 0.474963 -0.0191089
-02 0.479962 -0.0191541
-02 0.484963 -0.0189847
-02 0.489972 -0.0190665
-02 0.495215 -0.01912
-02 0.510194 -0.0190987
-02 0.510205 -0.0190987
-02 0.514963 -0.0190798
-02 0.519957 -0.0191631
-02 0.524964 -0.0191316
-02 0.529982 -0.0191304
-02 0.534949 -0.0192767
-02 0.539971 -0.0191507
-02 0.544942 -0.0192627
-02 0.549947 -0.0193163
-02 0.554965 -0.0192461
-02 0.559978 -0.0193262
-02 0.564982 -0.0193164
-02 0.569975 -0.0192597
-02 0.574994 -0.0192465
-02 0.580045 -0.019372
-02 0.585289 -0.0192014
-02 0.590056 -0.0192826
-02 0.595058 -0.0192601
-02 0.600055 -0.0193383
-02 0.605077 -0.0193252
-02 0.610116 -0.0192695
-02 0.615023 -0.0193318
-02 0.620039 -0.0193073
-02 0.624996 -0.0193117
-02 0.643582 -0.0192806
-02 0.643592 -0.0192806
-02 0.644986 -0.0190691
-02 0.649985 -0.0191758
-02 0.654968 -0.0191824
-02 0.659977 -0.0191659
-02 0.678214 -0.0191615
-02 0.678226 -0.0191615
-02 0.67995 -0.019256
-02 0.684955 -0.0193047
-02 0.689953 -0.0192316
-02 0.695013 -0.0192525
-02 0.699957 -0.0192111
-02 0.704951 -0.0191454
-02 0.709951 -0.0191924
-02 0.715274 -0.0191754
-02 0.719986 -0.0190739
-02 0.724989 -0.0193055
-02 0.729984 -0.0192015
