theta time VICON_theta
-10 0 -0.246789
-10 0.00489974 -0.246729
-10 0.0115285 -0.246698
-10 0.0149555 -0.246548
-10 0.0199566 -0.246662
-10 0.0249026 -0.246561
-10 0.0299315 -0.246655
-10 0.0349081 -0.246769
-10 0.0399189 -0.246643
-10 0.0449178 -0.246748
-10 0.0499701 -0.246676
-10 0.0548835 -0.24668
-10 0.0598757 -0.246625
-10 0.0648825 -0.246632
-10 0.0698533 -0.246576
-10 0.0749958 -0.24673
-10 0.0798883 -0.246591
-10 0.0849047 -0.246664
-10 0.0898643 -0.246668
-10 0.0948648 -0.246545
-10 0.0998976 -0.246681
-10 0.104882 -0.246702
-10 0.109893 -0.246676
-10 0.115074 -0.246678
-10 0.119889 -0.24669
-10 0.12491 -0.246601
-10 0.129881 -0.246533
-10 0.134889 -0.246582
-10 0.139958 -0.246662
-10 0.144938 -0.246628
-10 0.164096 -0.246603
-10 0.16411 -0.246603
-10 0.164861 -0.246585
-10 0.16993 -0.246608
-10 0.175042 -0.246526
-10 0.179924 -0.246618
-10 0.184923 -0.246621
-10 0.189884 -0.246659
-10 0.194882 -0.246695
-10 0.199873 -0.246682
-10 0.204861 -0.246671
-10 0.209893 -0.246674
-10 0.214869 -0.246711
-10 0.219865 -0.24664
-10 0.224874 -0.246622
-10 0.229876 -0.246651
-10 0.247438 -0.246639
-10 0.247449 -0.246639
-10 0.249857 -0.246548
-10 0.254959 -0.246655
-10 0.26001 -0.246781
-10 0.264953 -0.246736
-10 0.269943 -0.246618
-10 0.274904 -0.246654
-10 0.279948 -0.246706
-10 0.284969 -0.246644
-10 0.289964 -0.246672
-10 0.294939 -0.246734
-10 0.299963 -0.246652
-10 0.304911 -0.246678
-10 0.309908 -0.24677
-10 0.314972 -0.246658
-10 0.319943 -0.246727
-10 0.32492 -0.246624
-10 0.32998 -0.246734
-10 0.334883 -0.246618
-10 0.339879 -0.246649
-10 0.344868 -0.246655
-10 0.365285 -0.246609
-10 0.3653 -0.246609
-10 0.369891 -0.246798
-10 0.374904 -0.246641
-10 0.379897 -0.246607
-10 0.384901 -0.246751
-10 0.390007 -0.246784
-10 0.394909 -0.246651
-10 0.400053 -0.246729
-10 0.41537 -0.246647
-10 0.415384 -0.246647
-10 0.419916 -0.246608
-10 0.424909 -0.246714
-10 0.429907 -0.246597
-10 0.434901 -0.246642
-10 0.439898 -0.246625
-10 0.444926 -0.246662
-10 0.449994 -0.246618
-10 0.454921 -0.246647
-10 0.459905 -0.246671
-10 0.465061 -0.246622
-10 0.470443 -0.246715
-10 0.474902 -0.246742
-10 0.479925 -0.246662
-10 0.484899 -0.246628
-10 0.489868 -0.246636
-10 0.49485 -0.246567
-10 0.499928 -0.246665
-10 0.504958 -0.246605
-10 0.509973 -0.246734
-10 0.514986 -0.24667
-10 0.519991 -0.246673
-10 0.524975 -0.246713
-10 0.529972 -0.246648
-10 0.535043 -0.246601
-10 0.539908 -0.246557
-10 0.545391 -0.246801
-10 0.549897 -0.246741
-10 0.554912 -0.246619
-10 0.55992 -0.246664
-10 0.564879 -0.246674
-10 0.569905 -0.246667
-10 0.574926 -0.246723
-10 0.579862 -0.246655
-10 0.584871 -0.246729
-10 0.589899 -0.246655
-10 0.594866 -0.246635
-10 0.599925 -0.246678
-10 0.604905 -0.246832
-10 0.609912 -0.246671
-10 0.614904 -0.24673
-10 0.619917 -0.246603
-10 0.624901 -0.246847
-10 0.629877 -0.246745
-10 0.634903 -0.246723
-10 0.639872 -0.246641
-10 0.644889 -0.246646
-10 0.649895 -0.246697
-10 0.654905 -0.246779
-10 0.659866 -0.246759
-10 0.664886 -0.24678
-10 0.681035 -0.24674
-10 0.681046 -0.24674
-10 0.684989 -0.246743
-10 0.689875 -0.246677
-10 0.69488 -0.246645
-10 0.699873 -0.246548
-10 0.70485 -0.246671
-10 0.709854 -0.246754
-10 0.715224 -0.246806
-10 0.719866 -0.246671
-10 0.72486 -0.246663
-10 0.729892 -0.246691
-10 0.7349 -0.246561
-10 0.739942 -0.246702
-10 0.746138 -0.246682
-10 0.749928 -0.246713
-10 0.754956 -0.246538
-10 0.759912 -0.246641
-10 0.764915 -0.246698
-10 0.769948 -0.246638
-10 0.77494 -0.246604
-10 0.779943 -0.246717
-10 0.784928 -0.246673
-10 0.789869 -0.246574
-10 0.794869 -0.246757
-10 0.799868 -0.246593
-10 0.804862 -0.246689
-10 0.809896 -0.246641
-10 0.815411 -0.246547
-10 0.81989 -0.246658
-10 0.824902 -0.246579
-10 0.829879 -0.246619
-10 0.834887 -0.246688
-10 0.839876 -0.24661
-10 0.844912 -0.246688
-10 0.850224 -0.246718
-10 0.854978 -0.246626
-10 0.859938 -0.246705
-10 0.864928 -0.246665
-10 0.882258 -0.246646
-10 0.882279 -0.246646
-10 0.884922 -0.246633
-10 0.88994 -0.246593
-10 0.894927 -0.246692
-10 0.899928 -0.246717
-10 0.904879 -0.246656
-10 0.909882 -0.246767
-10 0.9153 -0.24672
-10 0.919893 -0.246709
-10 0.924867 -0.246713
