theta time VICON_theta
-10 0 -0.188362
-10 2.59876e-05 -0.188362
-10 0.0018692 -0.188364
-10 0.00693822 -0.188288
-10 0.0118668 -0.188574
-10 0.0169418 -0.18855
-10 0.0219526 -0.188553
-10 0.0269265 -0.188512
-10 0.0319099 -0.188441
-10 0.0369275 -0.188482
-10 0.041887 -0.188418
-10 0.04689 -0.188405
-10 0.0519207 -0.188541
-10 0.0569077 -0.18831
-10 0.0618937 -0.188325
-10 0.0669124 -0.188468
-10 0.0820825 -0.188317
-10 0.0821064 -0.188317
-10 0.0869346 -0.188324
-10 0.0920098 -0.188473
-10 0.0969729 -0.188377
-10 0.116544 -0.188284
-10 0.116568 -0.188284
-10 0.116942 -0.188284
-10 0.121877 -0.188359
-10 0.126979 -0.188362
-10 0.131944 -0.188373
-10 0.136888 -0.188334
-10 0.141903 -0.188314
-10 0.146864 -0.188371
-10 0.165422 -0.188271
-10 0.165439 -0.188271
-10 0.166948 -0.188268
-10 0.171891 -0.188413
-10 0.176913 -0.188205
-10 0.181932 -0.188262
-10 0.199846 -0.188257
-10 0.199867 -0.188257
-10 0.201958 -0.188221
-10 0.206955 -0.188359
-10 0.21189 -0.188284
-10 0.216941 -0.188363
-10 0.221972 -0.18828
-10 0.226921 -0.188395
-10 0.232034 -0.188381
-10 0.249882 -0.188396
-10 0.249898 -0.188396
-10 0.251946 -0.188282
-10 0.256984 -0.188325
-10 0.261975 -0.188314
-10 0.266978 -0.188373
-10 0.271931 -0.188329
-10 0.27695 -0.188239
-10 0.281914 -0.188278
-10 0.286926 -0.18844
-10 0.291954 -0.188413
-10 0.297003 -0.188377
-10 0.30192 -0.188398
-10 0.306864 -0.188426
-10 0.311893 -0.188378
-10 0.31693 -0.188414
-10 0.321902 -0.188456
-10 0.326884 -0.188482
-10 0.331991 -0.188513
-10 0.337111 -0.188426
-10 0.341977 -0.188504
-10 0.347085 -0.188465
-10 0.365959 -0.188527
-10 0.365972 -0.188527
-10 0.367251 -0.188548
-10 0.371974 -0.188523
-10 0.376908 -0.188498
-10 0.381876 -0.188448
-10 0.386944 -0.188547
-10 0.391918 -0.188548
-10 0.396933 -0.188524
-10 0.40196 -0.188395
-10 0.406906 -0.188512
-10 0.411928 -0.188478
-10 0.417006 -0.18851
-10 0.421938 -0.188494
-10 0.426928 -0.188378
-10 0.431951 -0.188354
-10 0.437038 -0.188374
-10 0.442013 -0.18848
-10 0.447224 -0.188387
-10 0.451946 -0.188312
-10 0.456923 -0.188364
-10 0.461958 -0.188239
-10 0.466951 -0.188341
-10 0.471907 -0.188327
-10 0.476887 -0.188237
-10 0.482146 -0.188291
-10 0.486982 -0.188238
-10 0.492125 -0.188252
-10 0.496932 -0.188198
-10 0.501986 -0.188307
-10 0.506871 -0.188281
-10 0.511968 -0.188212
-10 0.51691 -0.18825
-10 0.522003 -0.188158
-10 0.526929 -0.188175
-10 0.531919 -0.188259
-10 0.536944 -0.188183
-10 0.5419 -0.188199
-10 0.546903 -0.188256
-10 0.551885 -0.188234
-10 0.556958 -0.18831
-10 0.561961 -0.188352
-10 0.567057 -0.188305
-10 0.572018 -0.188191
-10 0.576928 -0.188349
